school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;Risco_Evasao
GP;F;19;R;LE3;T;3;0;other;at_home;home;father;4;1;0;no;yes;yes;yes;no;yes;yes;yes;5;3;3;1;3;1;4;11;11;12;0
GP;F;16;R;LE3;T;1;0;teacher;other;other;father;3;2;0;yes;yes;yes;yes;no;yes;no;yes;4;4;2;2;1;2;12;10;12;12;0
GP;M;18;R;LE3;A;0;2;other;other;other;father;3;1;0;no;no;no;yes;no;no;yes;no;4;5;1;4;2;1;30;11;11;12;0
GP;F;18;R;LE3;T;2;2;health;teacher;home;father;3;2;0;no;no;yes;no;yes;yes;no;yes;5;2;5;1;2;5;7;15;14;15;0
GP;M;16;U;LE3;A;0;3;other;services;course;father;2;3;1;no;yes;no;no;yes;yes;no;yes;5;4;2;4;4;3;21;9;8;9;1
GP;F;16;U;GT3;A;3;1;health;at_home;home;father;4;1;1;yes;yes;yes;yes;yes;no;no;yes;1;5;1;1;5;4;1;10;11;12;0
MS;M;18;R;LE3;T;1;3;other;teacher;other;father;4;4;0;no;yes;no;no;no;yes;no;no;5;1;4;5;1;1;6;13;13;13;0
GP;M;16;R;LE3;T;4;1;teacher;teacher;course;father;4;3;0;yes;yes;yes;no;yes;yes;no;no;4;2;4;4;1;5;9;12;11;12;0
GP;M;18;R;GT3;A;1;2;teacher;at_home;reputation;father;4;4;1;yes;yes;yes;yes;yes;yes;yes;yes;5;5;1;5;1;3;22;7;6;7;1
GP;M;18;U;LE3;T;3;2;teacher;at_home;course;mother;1;3;1;no;no;yes;yes;no;yes;yes;yes;1;5;3;4;2;2;16;8;10;10;0
MS;F;19;R;GT3;T;1;3;services;other;other;other;1;2;0;yes;yes;yes;no;yes;yes;no;yes;1;3;3;3;4;3;5;13;14;15;0
GP;M;15;R;GT3;T;1;4;at_home;services;course;father;4;1;0;no;no;yes;yes;no;yes;no;yes;1;4;2;1;3;2;20;11;13;13;0
GP;M;18;R;GT3;T;3;3;teacher;services;home;other;2;3;0;yes;no;no;no;no;yes;no;yes;1;3;4;3;2;2;3;11;10;11;0
MS;M;17;U;LE3;T;1;1;health;at_home;reputation;father;1;2;1;yes;yes;yes;yes;yes;yes;yes;no;3;2;3;1;3;1;6;7;7;8;1
GP;F;20;U;LE3;A;2;3;teacher;health;reputation;father;3;1;3;no;yes;no;no;no;yes;yes;yes;5;5;3;2;4;1;4;6;5;6;1
GP;M;21;U;LE3;A;2;0;services;teacher;reputation;mother;1;1;0;no;no;no;no;yes;yes;no;yes;2;3;4;4;5;3;1;12;14;14;0
GP;F;15;U;GT3;T;1;1;health;teacher;other;mother;3;3;1;no;yes;no;no;no;yes;yes;yes;5;4;5;2;1;5;12;9;10;10;0
GP;M;15;U;LE3;T;4;1;services;at_home;other;other;4;1;0;no;no;yes;no;yes;yes;no;no;3;2;3;2;3;3;7;12;12;13;0
GP;F;15;U;GT3;T;3;4;health;health;reputation;mother;1;3;3;yes;yes;yes;yes;no;yes;no;no;1;1;1;1;2;4;1;6;8;8;1
MS;F;19;U;LE3;A;2;2;other;other;course;mother;2;1;0;yes;yes;yes;yes;yes;yes;no;yes;3;3;2;3;3;2;0;12;12;13;0
MS;M;18;U;GT3;T;4;1;at_home;at_home;reputation;other;1;4;1;yes;yes;no;no;no;yes;yes;no;4;2;3;5;5;2;6;11;12;12;0
MS;F;19;R;LE3;A;1;2;at_home;at_home;course;mother;1;2;0;no;no;yes;no;no;yes;no;no;4;1;3;1;1;1;6;11;12;13;0
GP;M;18;R;LE3;A;4;3;services;teacher;course;father;1;4;0;yes;yes;yes;yes;no;yes;no;no;5;3;5;5;3;5;1;9;10;10;0
GP;M;19;U;LE3;A;0;0;at_home;at_home;other;other;4;3;0;no;no;no;yes;yes;yes;no;no;5;2;1;2;5;1;6;10;10;11;0
GP;M;19;U;GT3;T;2;4;services;at_home;course;other;2;4;3;yes;yes;no;no;yes;yes;yes;no;2;2;2;5;2;4;8;0;2;2;1
MS;F;20;R;GT3;A;1;2;services;at_home;reputation;father;1;3;1;no;no;no;no;no;yes;yes;no;2;3;3;3;4;3;12;10;11;11;0
GP;F;17;U;LE3;T;3;1;services;teacher;other;mother;2;1;1;yes;yes;no;no;yes;yes;yes;yes;4;2;2;1;2;3;0;12;13;13;0
GP;M;19;U;LE3;A;1;2;at_home;other;home;other;4;1;2;yes;no;no;no;no;yes;no;no;1;5;4;3;1;5;9;6;7;7;1
MS;M;20;U;GT3;T;3;1;services;other;home;other;3;3;0;no;no;no;no;yes;yes;yes;no;3;3;3;3;2;1;13;10;10;11;0
GP;F;16;R;GT3;A;1;2;at_home;at_home;other;father;1;4;0;yes;no;yes;yes;no;yes;no;yes;2;2;3;1;2;1;5;9;10;11;0
MS;M;17;R;GT3;T;4;1;services;teacher;reputation;father;2;1;0;no;no;no;no;yes;yes;yes;yes;2;1;4;3;2;4;7;15;15;15;0
MS;M;19;R;LE3;A;4;3;teacher;other;home;mother;2;2;0;yes;no;yes;yes;no;yes;no;yes;1;1;5;4;2;3;4;11;10;11;0
MS;M;21;R;GT3;T;4;1;services;other;home;other;4;1;0;yes;no;yes;yes;no;yes;yes;yes;1;5;3;4;1;1;6;12;13;13;0
GP;F;15;R;LE3;T;0;1;health;other;course;mother;1;2;0;no;yes;yes;yes;no;yes;no;no;5;3;2;4;5;5;8;15;16;17;0
GP;F;16;U;GT3;T;3;0;services;teacher;course;mother;3;4;0;no;no;no;no;no;yes;yes;no;3;2;1;5;3;3;3;10;12;12;0
GP;F;16;R;LE3;T;4;1;other;teacher;reputation;father;2;2;0;yes;no;yes;yes;yes;yes;yes;no;1;2;2;3;4;4;4;10;10;11;0
GP;M;20;U;GT3;A;0;0;services;at_home;other;other;1;2;0;yes;no;no;yes;no;yes;yes;no;2;1;5;1;3;5;10;9;8;9;1
GP;M;16;U;GT3;A;3;4;health;services;reputation;other;3;2;0;yes;yes;no;yes;yes;yes;no;yes;2;5;1;1;3;2;5;17;18;18;0
GP;M;17;R;GT3;T;1;0;health;other;other;other;2;2;3;yes;yes;yes;yes;yes;yes;yes;no;4;1;2;5;4;4;20;1;3;3;1
GP;F;19;R;GT3;A;0;3;at_home;services;home;father;2;1;0;yes;yes;no;no;no;yes;yes;no;1;1;2;1;1;5;15;8;10;10;0
MS;M;19;U;GT3;T;2;0;teacher;teacher;course;father;3;2;3;yes;no;yes;no;yes;yes;yes;yes;5;5;4;4;4;1;3;4;4;4;1
GP;M;21;U;LE3;T;0;4;services;teacher;reputation;father;3;1;0;no;yes;yes;yes;yes;yes;yes;no;3;3;5;3;1;2;4;10;12;12;0
MS;M;15;U;GT3;A;0;3;at_home;teacher;reputation;father;4;2;0;no;yes;no;yes;yes;yes;no;no;5;2;4;1;3;4;10;7;8;9;1
GP;M;20;R;GT3;T;3;2;teacher;services;other;father;1;3;0;no;no;yes;no;no;yes;yes;no;2;3;1;1;1;1;3;13;15;15;0
GP;F;15;R;GT3;T;1;2;services;teacher;other;other;1;4;0;yes;no;yes;no;yes;yes;no;no;5;4;4;2;5;2;8;13;12;13;0
GP;F;16;R;LE3;A;2;0;other;at_home;reputation;mother;4;2;0;yes;yes;yes;no;yes;yes;no;yes;2;4;5;2;4;3;8;12;14;14;0
MS;M;21;R;GT3;T;4;0;services;teacher;other;other;2;3;0;yes;no;no;yes;no;yes;no;yes;2;4;3;2;5;1;9;12;12;13;0
MS;F;15;R;LE3;T;4;4;health;health;reputation;mother;3;2;0;no;no;yes;no;no;yes;no;yes;2;5;3;3;3;5;12;13;12;13;0
MS;F;17;U;GT3;T;0;4;health;services;reputation;father;3;2;0;no;no;no;yes;yes;yes;yes;yes;2;1;1;4;4;4;25;6;7;7;1
MS;M;19;R;GT3;T;3;1;other;health;reputation;mother;3;2;0;yes;no;no;yes;no;yes;no;yes;2;3;3;4;3;2;4;14;15;15;0
GP;M;16;U;LE3;A;3;4;at_home;teacher;home;other;2;3;0;yes;yes;yes;no;yes;yes;no;no;4;2;4;4;5;1;12;10;9;10;0
MS;F;21;U;GT3;A;4;1;teacher;at_home;other;other;3;4;0;no;no;yes;yes;yes;yes;no;no;5;4;1;3;3;3;12;10;10;11;0
GP;M;15;U;LE3;A;2;3;services;other;course;mother;3;3;0;no;yes;no;no;yes;yes;no;yes;4;3;5;3;4;4;5;12;12;12;0
GP;F;20;R;LE3;T;1;0;health;teacher;course;father;4;4;1;no;yes;no;yes;no;yes;yes;yes;4;4;1;2;4;4;2;5;5;6;1
MS;M;17;R;GT3;T;2;3;at_home;at_home;other;father;2;2;0;yes;yes;yes;no;yes;yes;yes;yes;1;4;1;1;3;1;1;12;11;12;0
MS;F;17;R;LE3;A;1;4;other;services;reputation;other;1;1;0;yes;yes;yes;yes;no;yes;no;no;1;2;2;5;4;3;11;9;10;11;0
MS;M;15;U;GT3;T;4;3;health;health;course;mother;4;2;1;yes;no;no;yes;no;yes;no;yes;1;5;2;5;4;2;6;7;8;9;1
MS;F;19;U;GT3;T;1;3;other;health;course;father;4;4;0;no;no;no;no;yes;yes;no;no;3;1;1;1;3;1;3;9;9;10;0
MS;F;15;U;LE3;T;3;3;services;health;other;father;1;3;0;no;no;no;no;no;yes;yes;no;1;5;3;2;5;2;5;13;14;15;0
MS;F;16;U;LE3;T;0;4;teacher;services;course;other;4;2;0;yes;yes;no;no;no;yes;yes;no;5;3;2;1;4;4;10;13;13;13;0
MS;M;15;U;LE3;A;0;3;health;at_home;reputation;father;2;3;0;yes;yes;no;no;no;yes;yes;no;4;5;5;1;4;2;14;9;10;10;0
MS;F;17;U;LE3;A;4;1;health;services;other;mother;3;3;0;no;yes;yes;yes;no;yes;yes;yes;5;3;4;5;4;3;9;9;11;11;0
GP;F;21;R;GT3;A;3;4;services;health;reputation;other;2;3;1;yes;no;no;no;no;yes;yes;no;1;3;2;2;4;5;4;10;12;12;0
MS;M;15;R;GT3;T;2;3;at_home;teacher;course;other;1;2;0;no;yes;no;no;yes;yes;no;no;3;1;1;3;3;3;16;10;10;11;0
MS;M;19;R;LE3;A;3;4;teacher;other;course;mother;1;3;0;no;no;yes;yes;no;yes;yes;yes;3;2;3;5;5;2;7;8;10;10;0
GP;F;21;R;GT3;A;0;2;health;services;reputation;other;4;3;0;yes;no;yes;no;yes;no;yes;no;4;1;4;3;5;1;19;9;10;11;0
MS;F;20;U;GT3;T;0;1;teacher;services;home;father;2;2;0;no;no;no;no;yes;yes;no;no;5;5;2;2;1;4;8;10;10;11;0
GP;M;18;U;GT3;T;3;3;health;at_home;course;father;2;3;0;yes;no;no;yes;yes;yes;yes;no;2;3;3;1;4;5;10;9;11;11;0
GP;M;15;R;GT3;A;3;2;teacher;at_home;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;4;3;4;4;1;2;11;13;13;0
MS;M;19;U;LE3;A;0;2;other;services;course;father;2;4;0;no;no;no;no;yes;yes;yes;no;1;4;3;4;1;1;2;13;14;15;0
GP;M;21;R;LE3;A;2;4;health;health;home;mother;1;4;0;yes;yes;no;no;yes;yes;no;no;2;3;1;2;5;3;11;14;16;16;0
GP;M;19;R;GT3;A;4;2;teacher;other;home;mother;2;4;0;no;no;yes;no;no;yes;yes;yes;3;1;5;4;2;2;12;14;15;15;0
GP;F;20;R;LE3;T;4;1;at_home;at_home;home;father;2;3;0;yes;yes;no;no;no;yes;no;yes;4;2;3;3;2;3;13;12;11;12;0
GP;M;17;U;LE3;A;3;1;other;health;reputation;mother;2;1;1;yes;yes;yes;no;no;no;no;no;4;1;4;4;5;2;3;15;14;15;0
MS;F;19;R;LE3;A;4;0;other;teacher;home;father;1;1;0;no;no;yes;yes;yes;yes;yes;no;3;3;2;2;4;3;2;12;13;14;0
GP;F;21;R;GT3;T;0;1;at_home;at_home;home;other;4;3;0;yes;no;yes;no;no;yes;yes;yes;1;3;4;2;2;1;1;9;10;11;0
MS;F;19;R;GT3;A;0;2;teacher;health;home;other;2;1;0;yes;no;yes;yes;no;yes;yes;no;3;2;1;3;3;4;15;12;11;12;0
GP;M;19;U;GT3;T;3;1;services;health;course;mother;1;2;0;yes;yes;no;yes;no;yes;yes;yes;1;5;1;4;3;2;22;8;9;10;0
GP;F;19;U;LE3;T;3;4;at_home;other;home;father;1;1;0;yes;no;yes;yes;yes;yes;no;no;2;5;4;4;1;5;1;11;11;11;0
GP;F;16;R;GT3;T;3;0;teacher;other;course;father;2;3;0;yes;no;no;yes;no;yes;yes;yes;3;2;5;1;5;5;2;10;11;11;0
GP;M;16;U;GT3;A;2;2;at_home;teacher;home;other;2;3;0;yes;yes;no;no;yes;yes;no;no;1;5;1;5;5;1;5;12;13;13;0
MS;F;17;U;LE3;A;4;0;at_home;health;home;other;4;2;1;no;no;no;no;no;yes;no;yes;2;4;1;2;2;3;2;11;11;12;0
MS;F;15;U;GT3;T;3;2;health;health;reputation;father;1;4;0;yes;yes;no;no;yes;yes;no;yes;3;5;4;1;4;3;5;14;14;15;0
GP;M;19;U;GT3;A;1;4;teacher;other;course;mother;1;3;0;no;no;no;yes;yes;yes;no;yes;4;5;1;2;5;1;5;10;11;11;0
GP;F;20;U;LE3;A;1;0;services;at_home;home;other;3;2;1;no;yes;yes;no;yes;yes;no;yes;3;5;5;1;2;5;10;8;9;9;1
MS;F;15;U;LE3;T;0;3;health;at_home;course;mother;1;1;3;yes;yes;yes;no;no;yes;yes;yes;5;4;5;5;2;5;4;5;5;5;1
GP;F;20;U;LE3;T;4;2;at_home;services;course;mother;4;1;1;no;no;yes;no;no;yes;no;no;3;5;5;1;5;3;8;8;9;10;0
GP;M;15;U;GT3;A;3;3;at_home;other;other;other;3;2;0;no;yes;yes;yes;yes;yes;no;no;5;4;2;2;2;2;13;14;14;14;0
GP;M;17;U;GT3;T;1;0;at_home;services;reputation;mother;3;2;0;yes;no;no;yes;no;yes;yes;yes;2;2;5;4;1;4;18;10;11;11;0
MS;M;19;U;GT3;A;4;3;teacher;other;reputation;mother;3;3;0;yes;no;yes;no;yes;yes;yes;no;3;1;5;2;1;2;8;13;15;15;0
MS;F;19;R;LE3;A;0;3;teacher;teacher;reputation;father;2;1;0;yes;yes;no;yes;yes;yes;no;no;2;2;2;3;5;5;3;11;12;13;0
MS;F;18;R;LE3;A;2;0;health;health;other;mother;2;2;0;no;no;no;yes;no;yes;no;no;2;1;3;3;4;2;13;13;14;14;0
GP;M;20;U;GT3;A;4;4;services;teacher;other;father;1;1;0;no;yes;yes;no;no;yes;yes;no;1;2;1;3;1;4;14;10;11;11;0
GP;F;15;R;GT3;T;4;3;health;other;reputation;other;3;2;1;yes;yes;yes;yes;no;yes;no;no;2;1;5;3;1;2;1;10;10;11;0
MS;F;15;R;LE3;T;2;3;other;health;other;other;4;1;0;yes;yes;yes;yes;yes;yes;yes;no;2;1;1;5;5;2;9;8;8;9;1
MS;M;16;U;LE3;T;4;4;at_home;at_home;other;father;2;4;1;no;yes;yes;no;yes;yes;yes;yes;3;3;4;4;3;2;10;7;7;8;1
MS;M;18;U;LE3;T;0;3;at_home;at_home;other;other;4;3;0;no;yes;no;yes;no;yes;no;no;3;1;1;4;2;2;21;10;10;11;0
MS;F;21;U;LE3;A;0;3;at_home;services;reputation;mother;4;1;0;no;yes;no;yes;yes;yes;yes;no;4;1;2;2;1;1;1;12;13;14;0
GP;F;21;R;GT3;A;2;3;health;other;reputation;mother;2;4;0;no;yes;yes;yes;no;yes;no;no;1;3;1;1;3;5;5;17;18;18;0
MS;F;16;R;LE3;T;3;1;health;other;reputation;mother;2;1;0;yes;yes;no;yes;yes;yes;no;yes;2;5;1;2;4;4;1;12;13;13;0
GP;M;16;U;GT3;A;1;4;at_home;at_home;other;other;2;1;0;no;no;no;yes;no;yes;no;no;1;5;1;2;3;5;11;8;9;10;0
MS;M;16;U;GT3;A;3;3;health;teacher;reputation;mother;2;4;0;no;no;no;yes;no;no;yes;no;5;3;3;2;5;1;11;16;15;16;0
GP;M;20;U;GT3;A;4;4;teacher;health;other;other;3;1;2;no;yes;yes;yes;yes;yes;no;no;2;4;3;2;4;1;1;9;9;10;0
MS;M;20;R;LE3;T;1;2;teacher;teacher;home;mother;3;1;0;no;no;no;yes;no;yes;yes;yes;1;1;4;4;4;1;11;8;9;10;0
MS;F;17;R;LE3;T;2;2;health;teacher;other;father;3;3;0;yes;no;yes;no;no;yes;no;no;4;1;2;1;3;1;3;12;14;14;0
MS;M;17;R;LE3;T;2;3;at_home;at_home;course;other;3;4;0;yes;no;yes;no;yes;yes;no;yes;4;3;1;2;5;2;6;15;15;15;0
MS;M;16;R;LE3;A;1;4;health;at_home;reputation;other;1;4;0;no;no;no;no;no;yes;yes;no;2;3;1;4;1;5;8;12;12;13;0
GP;M;18;U;GT3;T;0;4;health;at_home;reputation;mother;3;2;0;no;no;no;no;yes;yes;no;yes;5;4;1;2;3;3;3;13;13;14;0
MS;M;15;U;LE3;T;1;4;health;services;course;other;2;1;0;yes;no;yes;yes;no;yes;no;yes;4;5;1;3;1;4;4;11;11;12;0
GP;M;20;U;LE3;T;4;1;other;teacher;other;other;4;3;0;yes;yes;no;no;yes;yes;yes;yes;4;2;3;2;3;1;5;12;13;14;0
GP;F;18;U;GT3;T;0;2;teacher;other;home;father;3;1;0;no;no;no;no;no;yes;yes;no;5;5;4;2;1;5;2;11;12;12;0
GP;F;19;R;LE3;T;2;4;services;health;course;father;1;1;0;no;no;yes;yes;no;yes;yes;yes;1;1;5;5;3;1;2;7;7;8;1
GP;M;20;R;GT3;T;1;4;services;services;course;mother;2;2;0;yes;no;yes;yes;no;yes;no;yes;4;3;2;3;4;1;2;13;13;14;0
MS;F;20;U;GT3;A;3;1;other;other;other;father;4;1;0;yes;no;yes;yes;no;yes;yes;yes;3;4;1;1;2;1;10;8;9;9;1
GP;M;17;U;GT3;A;3;1;health;teacher;reputation;mother;4;3;0;yes;yes;yes;yes;yes;yes;yes;yes;4;5;4;2;4;1;2;15;14;15;0
GP;M;15;R;GT3;T;4;4;other;at_home;other;mother;3;3;0;yes;yes;no;yes;yes;yes;no;no;1;4;5;1;1;1;13;10;10;10;0
GP;F;15;U;GT3;T;3;0;other;teacher;course;mother;4;2;0;yes;yes;no;no;yes;no;yes;no;1;5;4;3;5;4;1;8;7;8;1
MS;F;21;R;GT3;A;1;4;at_home;health;course;other;3;1;0;yes;yes;yes;yes;yes;yes;no;no;2;1;3;2;4;5;30;6;6;7;1
MS;M;21;U;GT3;A;1;4;teacher;services;reputation;father;3;3;1;no;no;yes;no;yes;yes;no;no;3;2;5;5;2;1;6;9;10;10;0
MS;M;21;U;GT3;T;3;1;services;services;reputation;mother;2;1;0;yes;yes;yes;no;yes;yes;yes;yes;1;4;4;4;1;1;11;11;12;13;0
MS;M;21;U;LE3;T;1;1;health;health;reputation;father;2;1;2;yes;yes;no;yes;yes;yes;no;no;5;4;3;5;4;1;6;2;4;4;1
GP;F;19;U;LE3;T;4;4;services;other;other;mother;1;1;3;yes;yes;yes;no;no;yes;yes;yes;3;2;4;5;3;1;6;0;2;2;1
GP;M;19;U;LE3;T;0;4;services;other;reputation;father;2;2;0;yes;yes;no;no;no;no;yes;no;3;4;4;4;5;2;3;12;13;13;0
MS;M;20;U;LE3;A;4;4;teacher;services;course;father;2;1;0;no;no;yes;yes;no;yes;yes;no;5;4;5;4;1;2;11;14;13;14;0
GP;M;16;U;GT3;T;4;1;services;services;course;mother;3;3;0;no;yes;yes;no;no;yes;yes;no;4;5;3;4;4;3;11;10;9;10;0
GP;F;17;R;LE3;T;1;4;services;at_home;home;other;2;1;0;yes;no;yes;no;yes;yes;no;yes;5;5;1;2;1;1;1;14;14;14;0
GP;M;17;R;GT3;T;0;4;other;other;other;father;3;3;0;no;yes;no;no;yes;yes;no;no;5;2;2;1;3;3;0;9;9;10;0
MS;M;21;R;LE3;T;1;3;teacher;health;home;other;3;1;0;no;no;no;yes;yes;yes;yes;no;4;1;5;1;2;4;10;13;12;13;0
MS;F;20;R;LE3;A;2;0;at_home;other;course;other;2;3;0;no;no;no;yes;no;yes;yes;no;4;4;3;4;4;3;6;12;13;14;0
GP;M;18;R;LE3;A;1;2;health;at_home;home;mother;1;3;1;no;yes;yes;yes;yes;yes;no;yes;4;1;4;5;1;5;13;8;10;10;0
MS;M;16;U;GT3;A;1;0;services;services;course;mother;1;1;0;no;yes;no;no;no;yes;yes;no;4;2;3;3;1;2;2;15;15;15;0
MS;F;20;U;LE3;T;1;3;health;services;home;mother;4;1;0;no;yes;no;yes;yes;yes;no;no;4;2;2;4;1;2;8;13;14;15;0
MS;M;16;R;GT3;T;0;2;at_home;at_home;reputation;father;4;3;0;yes;yes;yes;no;yes;yes;yes;yes;5;5;2;5;2;1;0;17;17;17;0
MS;F;16;U;GT3;A;1;4;health;health;home;mother;2;4;0;yes;no;yes;yes;yes;yes;no;yes;2;4;1;5;1;1;4;13;12;13;0
MS;F;16;R;LE3;T;0;3;at_home;services;reputation;mother;1;2;0;yes;no;no;no;yes;yes;no;no;2;3;1;2;5;4;12;14;15;16;0
GP;M;20;R;LE3;T;3;4;other;teacher;reputation;father;3;4;1;yes;yes;no;yes;no;yes;no;no;1;2;2;2;5;4;12;5;6;7;1
MS;M;21;U;LE3;A;2;1;services;services;other;father;4;4;0;yes;yes;no;yes;no;yes;yes;no;2;4;5;1;1;5;12;10;12;12;0
GP;M;17;U;GT3;A;0;3;at_home;teacher;reputation;mother;3;1;0;no;no;no;no;yes;yes;yes;yes;2;1;5;1;5;1;14;10;12;12;0
GP;M;17;U;LE3;A;3;1;health;at_home;reputation;mother;4;2;0;yes;yes;yes;yes;no;yes;yes;yes;5;5;4;3;4;1;3;11;10;11;0
MS;F;21;R;GT3;A;0;3;services;at_home;home;mother;2;4;1;yes;no;yes;no;yes;yes;yes;yes;4;1;1;3;5;4;7;3;5;5;1
GP;M;16;U;GT3;T;0;3;other;services;course;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;no;4;2;4;3;1;4;4;13;14;15;0
GP;F;18;R;LE3;T;2;1;services;other;other;other;4;4;0;no;no;no;yes;yes;yes;no;yes;5;2;1;3;3;4;2;10;11;11;0
GP;M;15;R;LE3;A;4;2;at_home;teacher;reputation;other;1;4;0;yes;no;no;no;yes;yes;no;no;2;1;2;5;4;2;9;10;12;12;0
MS;M;20;R;GT3;T;4;0;other;health;other;mother;3;1;0;no;no;yes;no;no;yes;no;yes;5;2;5;5;2;3;24;12;14;14;0
MS;M;15;U;GT3;A;0;4;health;services;home;other;2;1;0;no;no;yes;no;yes;yes;no;yes;1;4;5;1;1;3;4;14;13;14;0
GP;F;21;U;GT3;A;1;3;other;health;reputation;father;1;1;0;no;no;no;yes;yes;yes;no;yes;4;2;2;2;2;1;5;16;15;16;0
MS;M;18;R;LE3;T;3;4;other;services;home;other;2;2;0;no;yes;no;no;no;yes;no;no;3;5;4;2;3;2;8;12;12;13;0
MS;M;20;U;GT3;A;1;1;teacher;other;other;other;1;4;0;yes;no;yes;yes;yes;yes;no;no;1;4;4;4;2;4;13;11;13;13;0
MS;M;21;U;LE3;T;1;4;other;other;home;mother;3;1;2;no;yes;yes;no;no;yes;yes;no;1;3;3;5;1;1;17;3;4;5;1
MS;M;16;U;GT3;T;0;1;other;other;other;other;3;3;0;yes;no;yes;no;yes;no;no;no;5;2;1;3;1;2;4;9;10;11;0
GP;F;17;R;GT3;T;0;4;services;other;home;other;2;4;0;yes;no;no;no;yes;yes;yes;yes;2;2;4;3;3;5;2;12;13;14;0
GP;M;15;R;LE3;T;0;0;health;at_home;other;other;3;3;0;no;yes;no;no;yes;yes;no;no;4;5;2;4;1;2;12;9;10;11;0
MS;F;19;U;GT3;A;0;0;services;at_home;course;other;4;2;0;no;yes;no;no;yes;yes;no;yes;3;5;4;2;3;1;3;12;14;14;0
MS;F;19;R;LE3;T;4;0;services;teacher;home;father;1;1;2;no;yes;no;no;yes;yes;yes;no;1;1;5;3;3;3;3;5;6;6;1
GP;F;18;U;LE3;A;0;0;at_home;health;home;mother;3;3;0;yes;yes;no;yes;yes;yes;no;no;3;1;1;2;1;4;3;11;12;13;0
GP;F;16;U;GT3;A;4;0;services;services;course;mother;4;2;0;no;no;no;no;no;yes;yes;yes;2;1;3;4;5;5;30;8;10;10;0
MS;F;15;U;LE3;A;4;0;teacher;services;course;father;2;1;0;no;yes;yes;yes;yes;yes;no;yes;2;5;1;2;3;2;7;13;15;15;0
GP;F;16;U;LE3;A;0;1;teacher;at_home;home;other;4;3;0;no;no;yes;no;no;yes;yes;no;3;1;5;2;1;1;2;11;12;12;0
MS;M;15;R;GT3;T;2;3;at_home;services;course;father;2;3;0;no;yes;no;no;no;yes;no;no;4;1;5;2;5;1;6;13;15;15;0
MS;F;18;R;LE3;T;3;4;health;at_home;reputation;other;2;2;0;no;yes;yes;no;yes;yes;yes;yes;2;3;5;3;3;4;5;10;11;11;0
GP;F;18;R;LE3;A;1;0;health;teacher;other;father;1;1;0;yes;no;no;yes;no;yes;yes;yes;3;1;5;1;5;1;17;12;11;12;0
GP;F;19;U;LE3;A;4;1;services;health;other;mother;1;1;3;no;no;yes;yes;yes;yes;no;yes;1;2;2;5;4;1;10;0;2;2;1
MS;M;16;U;GT3;T;3;1;services;teacher;other;mother;4;3;0;no;yes;no;no;no;yes;no;yes;3;5;3;2;4;4;8;14;14;15;0
MS;M;20;U;LE3;A;2;1;services;other;reputation;mother;1;3;0;no;no;yes;yes;yes;yes;yes;yes;3;4;5;2;5;5;4;11;10;11;0
GP;F;19;R;GT3;T;1;3;health;other;course;other;1;3;1;yes;no;yes;no;no;yes;no;no;5;3;5;2;3;3;2;8;8;9;1
MS;M;16;U;GT3;A;1;4;other;other;course;other;1;1;0;no;no;no;no;no;yes;yes;no;2;5;4;1;1;3;8;9;10;10;0
GP;F;19;R;LE3;T;4;3;teacher;teacher;home;father;4;2;0;yes;no;no;yes;yes;yes;no;no;4;5;3;4;2;2;23;11;11;11;0
MS;F;20;R;LE3;A;0;2;other;services;course;father;3;2;0;yes;no;yes;yes;no;yes;yes;no;4;2;1;3;1;5;26;10;12;12;0
GP;M;17;R;LE3;A;2;1;other;health;home;mother;1;1;0;no;no;yes;yes;yes;yes;no;yes;5;1;3;1;2;2;9;12;14;14;0
GP;F;17;R;GT3;T;4;2;health;other;reputation;other;1;4;0;no;no;no;yes;yes;yes;yes;yes;4;2;3;2;2;3;12;11;11;12;0
GP;M;17;R;LE3;A;2;0;other;other;other;father;4;2;0;no;no;yes;no;yes;yes;no;yes;3;1;3;1;3;4;9;11;10;11;0
MS;M;17;R;LE3;A;0;0;at_home;other;other;other;3;3;2;yes;yes;no;yes;yes;yes;yes;no;5;1;5;1;5;1;27;2;3;4;1
MS;F;21;U;LE3;T;0;3;services;health;other;other;1;4;0;yes;no;no;yes;yes;yes;yes;yes;1;5;5;1;1;3;13;11;12;12;0
GP;F;15;U;LE3;A;4;4;at_home;other;course;mother;2;4;0;yes;yes;yes;no;no;yes;no;yes;2;1;2;4;5;5;11;13;12;13;0
MS;M;21;R;LE3;T;0;2;teacher;health;home;mother;4;2;0;yes;no;no;yes;no;yes;no;no;2;3;1;5;4;3;3;13;13;14;0
GP;F;21;R;GT3;T;3;4;services;other;home;other;1;4;0;yes;no;yes;yes;no;yes;yes;no;2;3;4;3;3;5;12;16;15;16;0
GP;F;21;U;GT3;A;1;3;other;teacher;reputation;other;1;4;0;yes;no;yes;yes;yes;yes;yes;no;3;3;3;4;3;5;7;11;13;13;0
MS;F;17;R;LE3;A;4;0;teacher;teacher;course;other;2;2;0;no;no;no;yes;no;yes;yes;yes;1;5;1;4;4;5;4;12;13;14;0
